,Distant Rate,Localized Rate,Regional Rate,Unknown/unstaged Rate,Age,LRD Rate,LRDU Rate,pLocal,pRegional,pDistant,LocalU,RegionalU,DistantU
5,0.0109096,0.0514308,0.0085718,0.0046755,20,0.0709122,0.0755877,0.725274353355276,0.12087905889254599,0.15384658775217805,0.05482182023911259,0.009136970039852099,0.01162890972103531
6,0.0274444,0.0478317,0.0219555,0.0023524,25,0.0972316,0.099584,0.4919357492831548,0.2258062193772395,0.28225803133960564,0.048988929656613694,0.022486686550463018,0.02810838379292329
7,0.0978529,0.057607,0.0528721,0.0047348,30,0.20833200000000002,0.21306680000000003,0.27651536969836604,0.2537877042413071,0.46969692606032676,0.05891624497244782,0.05407373402204174,0.10007682100551044
8,0.2988009,0.0567643,0.1158938,0.0118259,35,0.47145899999999996,0.48328489999999996,0.12040134985226711,0.24581946680411237,0.6337791833436206,0.058188154323217924,0.11880083643247875,0.3062959092443033
9,0.7746779,0.1126947,0.3506934,0.0299469,40,1.2380659999999999,1.2680129,0.0910247918931624,0.2832590508098922,0.6257161572969455,0.11542061034034534,0.35917613046869873,0.7934161591909559
10,1.7991177,0.1962818,0.8328071,0.073109,45,2.8282066,2.9013156,0.06940150694790119,0.29446473252696603,0.6361337605251328,0.2013556747714541,0.8543351221303139,1.845624803098232
11,3.7887561,0.3591003,1.7847449,0.1447985,50,5.9326013,6.0773998,0.06052999044449523,0.30083681841218624,0.6386331911433185,0.36786495182137724,1.828305620050857,3.881229228127766
12,6.9290183,0.7432764,3.383599,0.2761002,55,11.055893699999999,11.331993899999999,0.06722897489508244,0.3060448202391816,0.626726204865736,0.7618383334143272,3.4680980360770017,7.102057530508671
13,11.2158545,1.2098,5.5602585,0.5007958,60,17.985913,18.4867088,0.06726375247117007,0.3091451904610013,0.6235910570678286,1.2434854047298016,5.715077112973069,11.52814628229713
14,16.0987689,1.9718129,8.1728815,0.7671994,65,26.243463300000002,27.0106627,0.07513539190538163,0.3114254169342047,0.6134391911604136,2.0294567275885735,8.411806893016673,16.569399079394753
15,20.5077643,3.0922851,10.869311,1.1275441,70,34.4693604,35.5969045,0.08971112501408642,0.3153325409542557,0.5949563340316579,3.1934383497139955,11.22486234609098,21.178603804195028
16,24.0169775,4.5606946,13.4053198,1.6203713,75,41.9829919,43.603363200000004,0.10863195769523037,0.319303584459401,0.5720644578453685,4.736718706512165,13.922710164245139,24.943934329242694
17,24.231652,5.9515764,13.9644465,2.5324465,80,44.1476749,46.6801214,0.13481064208887705,0.31631216211569957,0.5488771957954235,6.29297713872073,14.765490127857335,25.621654133421934
