,Age,LRDU Rate,pLocal,pRegional,pDistant,LocalU,RegionalU,DistantU
43,63,368.8301162074813,0.0729753813475353,0.3094037259231418,0.617620892729323,1.4475099634295026,6.13720638009499,12.250876656475508
44,64,205.58062900374063,0.0679886857052858,0.3178470205383158,0.6141642937563984,1.4790327356900446,6.914476187339596,13.36059207697036
45,65,42.331141800000005,0.0710352549004572,0.3056167249661183,0.6233480201334244,1.6705574711057776,7.18728051166242,14.659463017231802
46,66,45.92725778531966,0.0688741701605475,0.3147019706944481,0.6164238591450043,1.758214856918206,8.033689249345981,15.736023893735814
47,67,49.046078075904916,0.075443036693523,0.3131645477061052,0.6113924156003717,2.113029393990322,8.771199085567762,17.124047520441916
48,68,51.98517000989017,0.0823373005740576,0.31580346520188,0.6018592342240623,2.309125716782281,8.856616598581816,16.878967684635903
49,69,54.99210012987389,0.0777521199758387,0.3076725677751893,0.614575312248972,2.394843280632169,9.476623683061309,18.929536036306523
50,70,58.0144175466446,0.084358977777016,0.3197435999977148,0.5958974222252692,2.744452142481263,10.402224294110455,19.38634156340828
51,71,61.05961022270295,0.0861219144093139,0.3221789783810319,0.5916991072096542,2.890909505124577,10.81478828404124,19.861943210834184
52,72,64.27744528203847,0.0920709446263146,0.3043818533215794,0.6035472020521059,3.248836528401402,10.74048808413152,21.29690538746708
53,73,67.61992969724821,0.0918341454936652,0.3174764767276209,0.5906893777787138,3.476021679646507,12.016827836211796,22.35823148414169
54,74,70.81230148035033,0.0942312746020746,0.3127120893162614,0.5930566360816639,3.743323060413677,12.422440215850909,23.559084723735417
55,75,73.7211027896928,0.099509270480121,0.3127044674534341,0.5877862620664448,4.040753641587802,12.697929645214916,23.868122713197284
56,76,76.40236605445632,0.1102362198997334,0.3214770615263619,0.5682867185739046,4.715965786522884,13.75296454005042,24.31161667342669
57,77,78.82495481142321,0.1016852239557355,0.3176235357724907,0.5806912402717737,4.358986965457863,13.61571326191521,24.892756772626925
58,78,80.9661675960228,0.1123722980580631,0.3249148672665961,0.5627128346753407,5.1461545655018766,14.879664797096783,25.76976063740134
59,79,82.47575766538642,0.1201067658490503,0.3199881371278833,0.5599050970230663,5.620435142605212,14.973948873043865,26.20094098435092
60,80,83.4288926151525,0.1272727311428407,0.3084175089112266,0.5643097599459326,5.6911885366942165,13.791345368878687,25.233946094427097
61,81,84.29716555005086,0.123264477613168,0.3200135472197208,0.5567219751671111,5.79103295372932,15.034412455833456,26.155104590437222
62,82,84.85693652652216,0.1410803164137998,0.3237384506273404,0.5351812329588598,6.869252805904986,15.76294494427194,26.05817224982308
63,83,84.95012264801582,0.136585355777599,0.3154471639878231,0.5479674802345779,6.260820162522308,14.459514735395596,25.11781610208209
64,84,85.05930469625584,0.1498257915737064,0.3135888420240673,0.5365853664022262,7.1170195074315,14.896086198217771,25.48885929435073
